angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,label
158.16814203025874,-136.2484823495922,-142.87262288393313,-21.831857969741257,-130.3185235400608,-144.0699825050544,45.313048195311,-57.41943283471141,-61.59621166170179,39.48251245411103,-59.74259486461012,-64.93047723644943,Downdog
-35.33311269125837,-136.5592357397867,-149.45730533064133,144.66688730874165,-133.88871517529506,-148.0495459848474,49.59951680772044,-53.18241914330618,-56.25346787866574,50.10692344006302,-53.759774696889586,-58.116472147624876,Downdog
-161.5543978156475,-32.133379401146954,-33.944359011046934,18.44560218435252,-35.72209528505557,-31.79957450412687,122.54400603197755,-125.60603611864323,-127.55210072042944,121.68431023998166,-127.32325330039048,-128.44604053200635,Downdog
-135.2902774022146,-56.74925121382177,-31.2693770323525,44.709722597785394,-55.82182115722632,-32.3930631899044,134.16514783879546,-130.75121852337367,-124.41713031287506,133.85559914439602,-131.58134797481046,-125.31390356796959,Downdog
-37.117688736791635,-104.65770480662002,-139.04753540892176,142.88231126320838,-103.28228062164189,-121.1193372973111,33.24411618554311,-54.6643484204941,-52.87185315116401,38.56052821225946,-53.11869844310565,-49.50890545119019,Downdog
71.800679116595,-120.1804324277622,-154.92295768678846,-108.199320883405,-115.54241890425006,-132.68048596086516,46.05477041037276,-56.67799572821067,-58.37715190313857,42.89603291950902,-54.60759675427368,-56.53054968797733,Downdog
-30.64934674995594,-120.73722441739703,-139.62903405794114,149.35065325004408,-119.36895340892255,-132.6628775818155,35.962839412409345,-60.86924040841582,-54.08590616255864,39.78297550865086,-59.54960908468544,-58.49677682948375,Downdog
123.27385159470853,-129.22683903586093,-149.8619778501336,-56.726148405291475,-129.04762959937895,-145.23849499492658,34.19833233081298,-59.007816050252075,-57.389876470289536,32.93503964847212,-59.55038325006528,-58.59104660074749,Downdog
48.02596080245851,-133.13353680524483,-147.9206164042532,-131.9740391975415,-132.90528544272232,-146.83375187751048,45.03977105541999,-55.760681141375805,-62.17466428193853,43.07798632427104,-56.13444096754919,-61.83972001905069,Downdog
-35.33311269125837,-136.5592357397867,-149.45730533064133,144.66688730874165,-133.88871517529506,-148.0495459848474,49.59951680772044,-53.18241914330618,-56.25346787866574,50.10692344006302,-53.759774696889586,-58.116472147624876,Downdog
-135.2902774022146,-56.74925121382177,-31.2693770323525,44.709722597785394,-55.82182115722632,-32.3930631899044,134.16514783879546,-130.75121852337367,-124.41713031287506,133.85559914439602,-131.58134797481046,-125.31390356796959,Downdog
-32.84342443944364,-59.386133314284855,-36.413956197182195,147.15657556055638,-59.54998338082512,-34.03369360699356,135.37177266971239,-121.96349224102661,-124.36423404385464,135.18089445886346,-123.02490916321398,-123.57347613842062,Downdog
98.68740887737995,-102.58230839032176,-115.45596837533479,-81.31259112262005,-101.51584376142414,-118.91682135094268,34.491580584584305,-72.1195214281347,-64.49599622067447,28.643741864530863,-66.55031812355122,-74.3085049519026,Downdog
